La	F	dta	D50a	Fd	dsa	Source
22	2.268906296	10.35	0.15	4.560673253	1.25	VermaandGoel2005
22	2.268906296	12.95	0.15	4.560673253	1.8	VermaandGoel2005
22	2.268906296	15.25	0.15	4.560673253	1.9	VermaandGoel2005
14.66666667	1.235036155	6.9	0.1	3.040448836	0.7	VermaandGoel2005
14.66666667	1.235036155	8.666666667	0.1	3.040448836	0.933333333	VermaandGoel2005
14.66666667	1.235036155	10.16666667	0.1	3.040448836	0.966666667	VermaandGoel2005
28	4.623108203	10.3	0.3	6.570999872	2.8	VermaandGoel2005
28	4.623108203	15.6	0.3	6.570999872	3.7	VermaandGoel2005
28	4.623108203	20.5	0.3	6.570999872	4.2	VermaandGoel2005
14	2.268906296	5.7	0.15	4.560673253	2.2	VermaandGoel2005
14	2.268906296	8.3	0.15	4.560673253	2.4	VermaandGoel2005
14	2.268906296	10.7	0.15	4.560673253	2.6	VermaandGoel2005
9.333333333	1.235036155	3.666666667	0.1	3.040448836	0.966666667	VermaandGoel2005
9.333333333	1.235036155	5.333333333	0.1	3.040448836	1.2	VermaandGoel2005
9.333333333	1.235036155	6.7	0.1	3.040448836	1.3	VermaandGoel2005
50	2.649986056	10	0.027	12.55508723	5.5	Aamir2022
50	2.649986056	12.5	0.027	12.55508723	4.8	Aamir2022
50	2.649986056	15	0.027	12.55508723	4.9	Aamir2022
33.33333333	1.459848856	6.666666667	0.018	8.470902229	2.666666667	Aamir2022
33.33333333	1.459848856	8.333333333	0.018	8.470902229	2.533333333	Aamir2022
33.33333333	1.459848856	10	0.018	8.470902229	2.6	Aamir2022
100	12.05568121	20	1.34	8.107694653	9	Aamir2022
100	12.05568121	22	1.34	8.107694653	8.4	Aamir2022
100	12.05568121	25	1.34	8.107694653	9.2	Aamir2022
100	12.05568121	28	1.34	8.107694653	9.4	Aamir2022
100	12.05568121	30	1.34	8.107694653	9.8	Aamir2022
100	12.05568121	32	1.34	8.107694653	10.2	Aamir2022
100	12.05568121	36	1.34	8.107694653	10.4	Aamir2022
100	12.05568121	40	1.34	8.107694653	10.8	Aamir2022
50	4.246363198	10	0.67	4.038664378	3.8	Aamir2022
50	4.246363198	11	0.67	4.038664378	3.6	Aamir2022
50	4.246363198	12.5	0.67	4.038664378	3.9	Aamir2022
50	4.246363198	14	0.67	4.038664378	4	Aamir2022
50	4.246363198	15	0.67	4.038664378	4.2	Aamir2022
50	4.246363198	16	0.67	4.038664378	4.3	Aamir2022
50	4.246363198	18	0.67	4.038664378	4.5	Aamir2022
50	4.246363198	20	0.67	4.038664378	4.6	Aamir2022
33.33333333	2.320116931	6.666666667	0.446666667	2.702564884	0.733333333	Aamir2022
33.33333333	2.320116931	7.333333333	0.446666667	2.702564884	0.666666667	Aamir2022
33.33333333	2.320116931	8.333333333	0.446666667	2.702564884	0.866666667	Aamir2022
33.33333333	2.320116931	9.333333333	0.446666667	2.702564884	1	Aamir2022
33.33333333	2.320116931	10	0.446666667	2.702564884	1.066666667	Aamir2022
33.33333333	2.320116931	10.66666667	0.446666667	2.702564884	1.133333333	Aamir2022
33.33333333	2.320116931	12	0.446666667	2.702564884	1.266666667	Aamir2022
33.33333333	2.320116931	13.33333333	0.446666667	2.702564884	1.333333333	Aamir2022
100	12.05568121	20	0.534	12.84337475	10.6	Aamir2022
100	12.05568121	22	0.534	12.84337475	10.4	Aamir2022
100	12.05568121	25	0.534	12.84337475	11	Aamir2022
100	12.05568121	28	0.534	12.84337475	11.6	Aamir2022
100	12.05568121	30	0.534	12.84337475	12	Aamir2022
100	12.05568121	32	0.534	12.84337475	12.2	Aamir2022
100	12.05568121	36	0.534	12.84337475	12.6	Aamir2022
100	12.05568121	40	0.534	12.84337475	12.8	Aamir2022
50	4.246363198	10	0.267	6.397636113	4.2	Aamir2022
50	4.246363198	11	0.267	6.397636113	4.1	Aamir2022
50	4.246363198	12.5	0.267	6.397636113	4.7	Aamir2022
50	4.246363198	14	0.267	6.397636113	4.5	Aamir2022
50	4.246363198	15	0.267	6.397636113	4.5	Aamir2022
50	4.246363198	16	0.267	6.397636113	4.6	Aamir2022
50	4.246363198	18	0.267	6.397636113	4.8	Aamir2022
50	4.246363198	20	0.267	6.397636113	4.9	Aamir2022
33.33333333	2.320116931	6.666666667	0.178	4.281124918	1.666666667	Aamir2022
33.33333333	2.320116931	7.333333333	0.178	4.281124918	1.6	Aamir2022
33.33333333	2.320116931	8.333333333	0.178	4.281124918	1.933333333	Aamir2022
33.33333333	2.320116931	9.333333333	0.178	4.281124918	1.866666667	Aamir2022
33.33333333	2.320116931	10	0.178	4.281124918	1.933333333	Aamir2022
33.33333333	2.320116931	10.66666667	0.178	4.281124918	2	Aamir2022
33.33333333	2.320116931	12	0.178	4.281124918	2.133333333	Aamir2022
33.33333333	2.320116931	13.33333333	0.178	4.281124918	2.2	Aamir2022
100	12.05568121	20	0.358	15.68585767	11.4	Aamir2022
100	12.05568121	22	0.358	15.68585767	11	Aamir2022
